source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD014317-Sample-1	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cFCM_day115_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from a cardiac fibroblast-derived...	not available	Erdene_day115_QE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	Erdene_day115_QE2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cFCM_day115
PXD014317-Sample-2	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cFCM_day12_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from a cardiac fibroblast-derived...	not available	Erdene_Day12_QE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	Erdene_Day12_QE2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cFCM_day12
PXD014317-Sample-3	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cFCM_day40_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from a cardiac fibroblast-derived...	not available	Erdene_Day40_QE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	Erdene_Day40_QE2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cFCM_day40
PXD014317-Sample-4	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	dFCM_Coriell_day105_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from the Coriell dermal...	not available	sample_2_coriell_day105	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	sample_2_coriell_day105.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dFCM_Coriell_day105
PXD014317-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	dFCM_Coriell_day13_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from the Coriell dermal...	not available	sample_1_coriell_day13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	sample_1_coriell_day13.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dFCM_Coriell_day13
PXD014317-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	dFCM_day12_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from a dermal fibroblast-derived hiPSC...	not available	Erdene_hipSCM_day12_QE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	Erdene_hipSCM_day12_QE2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dFCM_day12
PXD014317-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	dFCM_day17_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from a dermal fibroblast-derived hiPSC...	not available	Erdene_hipSCM_day17_QE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	Erdene_hipSCM_day17_QE2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dFCM_day17
PXD014317-Sample-8	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	dFCM_day39_rep1	cell	1	Enriched mitochondria from human iPSC-derived cardiomyocytes generated from a dermal fibroblast-derived hiPSC...	not available	Erdene_hipSCM_day39_QE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	Erdene_hipSCM_day39_QE2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	dFCM_day39
PXD014317-Sample-9	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	mouse_adult_heart_day90_rep1	cell	1	Enriched mitochondria from adult (90 days old) mouse heart	not available	sample_4_adult_mice_heart	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	sample_4_adult_mice_heart.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	mouse_adult_heart_day90
PXD014317-Sample-10	NT=Mus musculus;AC=NCBITaxon:10090	heart	not available	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	mouse_neonatal_heart_day1_rep1	cell	1	Enriched mitochondria from neonatal (1 day old) mouse heart	not available	sampel_3_neonate_mice_CM	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	1	1	sampel_3_neonate_mice_CM.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	mouse_neonatal_heart_day1
