source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Rpalustris_PH_Bio1_Run1.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_PH_Bio1_Run1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_PH_Bio1_Run1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_PH_Bio1_Run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_CH_Bio1_Run2.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_CH_Bio1_Run2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_CH_Bio1_Run2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_CH_Bio1_Run2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_CH_Bio2_Run2.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_CH_Bio2_Run2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_CH_Bio2_Run2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_CH_Bio2_Run2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_PH_Bio3_Run3	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_PH_Bio3_Run3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_PH_Bio3_Run3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_PH_Bio3_Run3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_CH_Bio2_Run1.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_CH_Bio2_Run1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_CH_Bio2_Run1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_CH_Bio2_Run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_CH_Bio3_Run1	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_CH_Bio3_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_CH_Bio3_Run1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_CH_Bio3_Run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_PH_Bio2_Run1.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_PH_Bio2_Run1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_PH_Bio2_Run1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_PH_Bio2_Run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_CH_Bio1_Run1.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_CH_Bio1_Run1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_CH_Bio1_Run1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_CH_Bio1_Run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_PH_Bio3_Run1	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_PH_Bio3_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_PH_Bio3_Run1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_PH_Bio3_Run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Rpalustris_PH_Bio1_Run2.zip	rhodopseudomonas palustris	not available	not applicable	not available	1	Rpalustris_PH_Bio1_Run2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=tripletof 6600;AC=MS:1002533	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Rpalustris_PH_Bio1_Run2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/12/PXD000025/Rpalustris_PH_Bio1_Run2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
