source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
200122_V2_PM3_PM_DS_POMPU_2018_1_01	200122_V2_PM3_PM_DS_POMPU_2018_1_01	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200122_V2_PM3_PM_DS_POMPU_2018_1_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200122_V2_PM3_PM_DS_POMPU_2018_1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200122_V2_PM3_PM_DS_POMPU_2018_1_02	200122_V2_PM3_PM_DS_POMPU_2018_1_02	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200122_V2_PM3_PM_DS_POMPU_2018_1_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200122_V2_PM3_PM_DS_POMPU_2018_1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200122_V2_PM3_PM_DS_POMPU_2018_1_07	200122_V2_PM3_PM_DS_POMPU_2018_1_07	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200122_V2_PM3_PM_DS_POMPU_2018_1_07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200122_V2_PM3_PM_DS_POMPU_2018_1_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200122_V2_PM3_PM_DS_POMPU_2018_1_11	200122_V2_PM3_PM_DS_POMPU_2018_1_11	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200122_V2_PM3_PM_DS_POMPU_2018_1_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200122_V2_PM3_PM_DS_POMPU_2018_1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200122_V2_PM3_PM_DS_POMPU_2018_1_13	200122_V2_PM3_PM_DS_POMPU_2018_1_13	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200122_V2_PM3_PM_DS_POMPU_2018_1_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200122_V2_PM3_PM_DS_POMPU_2018_1_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_01	200124_V2_PM3_PM_DS_POMPU_2018_2_01	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_03	200124_V2_PM3_PM_DS_POMPU_2018_2_03	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_05	200124_V2_PM3_PM_DS_POMPU_2018_2_05	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_08	200124_V2_PM3_PM_DS_POMPU_2018_2_08	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_09	200124_V2_PM3_PM_DS_POMPU_2018_2_09	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
