source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	Material Type	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[study group]	comment[run role]	comment[acquisition branch]	comment[replicate provenance]	comment[sdrf annotation tool]	comment[spike amount]	comment[spike amount basis]	comment[injected background amount]	comment[original sample name]	comment[annotation source]	comment[annotation provenance]	comment[modification parameters]	factor value[condition]
PXD001819_UPS1_12.5_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_12.5_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=12.5 fmol per ug yeast protein	PXD001819_UPS1_12500amol_R1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R1.raw	UPS1_12500amol_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	12.5 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_12500amol_R1	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_12.5_fmol_per_ug
PXD001819_UPS1_12.5_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_12.5_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=12.5 fmol per ug yeast protein	PXD001819_UPS1_12500amol_R2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R2.raw	UPS1_12500amol_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	12.5 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_12500amol_R2	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_12.5_fmol_per_ug
PXD001819_UPS1_12.5_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_12.5_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=12.5 fmol per ug yeast protein	PXD001819_UPS1_12500amol_R3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R3.raw	UPS1_12500amol_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	12.5 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_12500amol_R3	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_12.5_fmol_per_ug
PXD001819_UPS1_0.125_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_0.125_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.125 fmol per ug yeast protein	PXD001819_UPS1_125amol_R1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R1.raw	UPS1_125amol_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	0.125 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_125amol_R1	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=Methylation;AC=UniMod:34	UPS1_0.125_fmol_per_ug
PXD001819_UPS1_0.125_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_0.125_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.125 fmol per ug yeast protein	PXD001819_UPS1_125amol_R2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R2.raw	UPS1_125amol_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	0.125 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_125amol_R2	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_0.125_fmol_per_ug
PXD001819_UPS1_0.125_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_0.125_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=0.125 fmol per ug yeast protein	PXD001819_UPS1_125amol_R3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R3.raw	UPS1_125amol_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	0.125 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_125amol_R3	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=Methylation;AC=UniMod:34	UPS1_0.125_fmol_per_ug
PXD001819_UPS1_25_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_25_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=25 fmol per ug yeast protein	PXD001819_UPS1_25000amol_R1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R1.raw	UPS1_25000amol_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	25 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_25000amol_R1	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_25_fmol_per_ug
PXD001819_UPS1_25_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_25_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=25 fmol per ug yeast protein	PXD001819_UPS1_25000amol_R2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R2.raw	UPS1_25000amol_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	25 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_25000amol_R2	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_25_fmol_per_ug
PXD001819_UPS1_25_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_25_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=25 fmol per ug yeast protein	PXD001819_UPS1_25000amol_R3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R3.raw	UPS1_25000amol_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	25 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_25000amol_R3	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=Methylation;AC=UniMod:34	UPS1_25_fmol_per_ug
PXD001819_UPS1_2.5_fmol_per_ug	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	lysate	UPS1_2.5_fmol_per_ug	CT=mixture;CN=UPS1;SP=Homo sapiens;QY=2.5 fmol per ug yeast protein	PXD001819_UPS1_2500amol_R1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-dependent acquisition;AC=PRIDE:0000627	5 ppm	0.8 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R1.raw	UPS1_2500amol_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	PXD001819	benchmark	DDA	PMC4706616: one yeast lysate; nine prepared UPS1 concentrations, each measured in triplicate; R suffix identifies technical injection	prideQC v0.2.0	2.5 fmol	per 1 ug yeast lysate before injection; each UPS1 protein	2 ug	UPS1_2500amol_R1	https://www.ebi.ac.uk/pride/archive/projects/PXD001819 | https://doi.org/10.1016/j.dib.2015.11.063	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	UPS1_2.5_fmol_per_ug
