source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[synthetic peptide]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[elution conditions]	factor value[source name]
PXD034788_B2905-SCC2_r2_classI	Mus musculus	skin of body	not available	2	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC2	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq53039_QE3	proteomic profiling by mass spectrometry	1	Seq53039_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC2_r2_classI
PXD034788_B2905-SCC2_r3_classI	Mus musculus	skin of body	not available	3	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC2	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq53040_QE3	proteomic profiling by mass spectrometry	1	Seq53040_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC2_r3_classI
PXD034788_B2905-SCC9_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC9	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58452_QE3	proteomic profiling by mass spectrometry	1	Seq58452_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC9_r1_classI
PXD034788_B2905-SCC11_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC11	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58453_QE3	proteomic profiling by mass spectrometry	1	Seq58453_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC11_r1_classI
PXD034788_B2905-SCC12_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC12	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58454_QE3	proteomic profiling by mass spectrometry	1	Seq58454_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC12_r1_classI
PXD034788_B2905-SCC13_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC13	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58455_QE3	proteomic profiling by mass spectrometry	1	Seq58455_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC13_r1_classI
PXD034788_B2905-SCC14_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC14	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58456_QE3	proteomic profiling by mass spectrometry	1	Seq58456_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC14_r1_classI
PXD034788_B2905-SCC15_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC15	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58457_QE3	proteomic profiling by mass spectrometry	1	Seq58457_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC15_r1_classI
PXD034788_B2905-SCC17_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC17	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58458_QE3	proteomic profiling by mass spectrometry	1	Seq58458_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC17_r1_classI
PXD034788_B2905-SCC18_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC18	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58459_QE3	proteomic profiling by mass spectrometry	1	Seq58459_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC18_r1_classI
PXD034788_B2905-SCC19_r1_classI	Mus musculus	skin of body	not available	1	not pooled	study sample	melanoma	cell line	not applicable	not synthetic	adult	C57BL/6	male	B2905-SCC19	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	Seq58460_QE3	proteomic profiling by mass spectrometry	1	Seq58460_QE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_B2905-SCC19_r1_classI
