source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[temperature]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters]	factor value[temperature]
20_TE__15-11-19_20191120015434	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	20_TE__15-11-19_20191120015434	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	20_TE__15-11-19_20191120015434.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
4_T1__27-11-19_20191127211214	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	4_T1__27-11-19_20191127211214	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	4_T1__27-11-19_20191127211214.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
20_TE__15-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	20_TE__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	20_TE__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
17_TE__14-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	17_TE__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	17_TE__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
18_T0__27-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	controls (26C)	1	18_T0__27-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	18_T0__27-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
3_TE__14-11-19_20191116133945	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	3_TE__14-11-19_20191116133945	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	3_TE__14-11-19_20191116133945.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
1_T1rep__14-11-19_20191119015111	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	1_T1rep__14-11-19_20191119015111	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	1_T1rep__14-11-19_20191119015111.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
18_TE__16-11-19_20191118204035	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	18_TE__16-11-19_20191118204035	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	18_TE__16-11-19_20191118204035.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
20_T1__20_11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	20_T1__20_11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	20_T1__20_11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
17_T1__15-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	17_T1__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	17_T1__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
1_T0_13-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	controls (26C)	1	1_T0_13-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	1_T0_13-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
18_TE__16-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	18_TE__16-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	18_TE__16-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
2_T0__15-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	controls (26C)	1	2_T0__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	2_T0__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
19_TE__17-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	19_TE__17-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	19_TE__17-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
1_T1rep__14-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	1_T1rep__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	1_T1rep__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
4_T1__27-11-19	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	4_T1__27-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	4_T1__27-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
18_T1__16-11-19_20191120225531	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	18_T1__16-11-19_20191120225531	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	18_T1__16-11-19_20191120225531.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
1_T0_13-11-19_20191116082903	Durusdinium trenchii	not applicable	not applicable	not applicable	controls (26C)	1	1_T0_13-11-19_20191116082903	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	1_T0_13-11-19_20191116082903.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
19_T1_13-11-19_20191117203221	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	19_T1_13-11-19_20191117203221	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	19_T1_13-11-19_20191117203221.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
18_T1__16-11-19_20191120053234	Durusdinium trenchii	not applicable	not applicable	not applicable	one week at 32C	1	18_T1__16-11-19_20191120053234	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	18_T1__16-11-19_20191120053234.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
19_TE__17-11-19_20191121161934	Durusdinium trenchii	not applicable	not applicable	not applicable	end of the temperature ramp	1	19_TE__17-11-19_20191121161934	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	19_TE__17-11-19_20191121161934.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
