source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[material description]	assay name	technology type	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[annotation scope]	factor value[spiked compound]
HYE LFQ 01	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=10% yeast in human (1x group)	1	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05191.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05191.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y10
HYE LFQ 02	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=10% yeast in human (1x group)	2	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05192.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05192.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y10
HYE LFQ 03	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=10% yeast in human (1x group)	3	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05194.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05194.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y10
HYE LFQ 04	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=5% yeast in human (2x group)	1	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05195.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05195.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y5
HYE LFQ 05	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=5% yeast in human (2x group)	2	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05196.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05196.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y5
HYE LFQ 06	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=5% yeast in human (2x group)	3	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05197.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05197.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y5
HYE LFQ 07	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=5% yeast in human (2x group)	4	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05198.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05198.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y5
HYE LFQ 08	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=3.3% yeast in human (3x group)	1	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05199.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05199.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y3.3
HYE LFQ 09	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=3.3% yeast in human (3x group)	2	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05200.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05200.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y3.3
HYE LFQ 10	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=3.3% yeast in human (3x group)	3	Label-free proteome digest derived from human SH-SY5Y cells and yeast cells; the yeast proportion varies between groups.	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.02 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD007683/a05201.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a05201.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD007683 | https://doi.org/10.1021/acs.jproteome.8b00016	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Selected spike-in subset only; overlaps the existing full-project community annotation. Reconcile the broader record before merging this draft.	Y3.3
