source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[genotype]
HAP1_MT9KO_Rep01	Homo sapiens	bone marrow	not available	1	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	METTL9 knockout	201019_HAP1_MT9KO_Rep01	proteomic profiling by mass spectrometry	1	201019_HAP1_MT9KO_Rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	METTL9 knockout
HAP1_MT9KO_Rep02	Homo sapiens	bone marrow	not available	2	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	METTL9 knockout	201019_HAP1_MT9KO_Rep02	proteomic profiling by mass spectrometry	1	201019_HAP1_MT9KO_Rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	METTL9 knockout
HAP1_MT9KO_Rep03	Homo sapiens	bone marrow	not available	3	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	METTL9 knockout	201019_HAP1_MT9KO_Rep03	proteomic profiling by mass spectrometry	1	201019_HAP1_MT9KO_Rep03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	METTL9 knockout
HAP1_MT9KO_Rep04	Homo sapiens	bone marrow	not available	4	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	METTL9 knockout	201019_HAP1_MT9KO_Rep04	proteomic profiling by mass spectrometry	1	201019_HAP1_MT9KO_Rep04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	METTL9 knockout
HAP1_MT9KO_Rep05	Homo sapiens	bone marrow	not available	5	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	METTL9 knockout	201019_HAP1_MT9KO_Rep05	proteomic profiling by mass spectrometry	1	201019_HAP1_MT9KO_Rep05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	METTL9 knockout
HAP1_WT_Rep01	Homo sapiens	bone marrow	not available	1	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	wild type	201019_HAP1_WT_Rep01	proteomic profiling by mass spectrometry	1	201019_HAP1_WT_Rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	wild type
HAP1_WT_Rep02	Homo sapiens	bone marrow	not available	2	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	wild type	201019_HAP1_WT_Rep02	proteomic profiling by mass spectrometry	1	201019_HAP1_WT_Rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	wild type
HAP1_WT_Rep03	Homo sapiens	bone marrow	not available	3	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	wild type	201019_HAP1_WT_Rep03	proteomic profiling by mass spectrometry	1	201019_HAP1_WT_Rep03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	wild type
HAP1_WT_Rep04	Homo sapiens	bone marrow	not available	4	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	wild type	201019_HAP1_WT_Rep04	proteomic profiling by mass spectrometry	1	201019_HAP1_WT_Rep04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	wild type
HAP1_WT_Rep05	Homo sapiens	bone marrow	not available	5	chronic myelogenous leukemia, BCR-ABL1 positive	cell line	40Y	male	not applicable	HAP-1	CVCL_Y019	HAP1	wild type	201019_HAP1_WT_Rep05	proteomic profiling by mass spectrometry	1	201019_HAP1_WT_Rep05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R,H;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	wild type
