source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
NR27224	Glycine max	root tip	Wounds and injuries	no flooding	not available	2	seedling development stage	Enrei	NR27224	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR27224.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
NR3540	Glycine max	root tip	Wounds and injuries	no flooding	not available	3	seedling development stage	Enrei	NR3540	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR3540.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
NR2546	Glycine max	root tip	Wounds and injuries	no flooding	not available	2	seedling development stage	Enrei	NR2546	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR2546.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
TR27224	Glycine max	root tip	Wounds and injuries	flooding	not available	2	seedling development stage	Enrei	TR27224	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	TR27224.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	flooding
NR3546	Glycine max	root tip	Wounds and injuries	no flooding	not available	3	seedling development stage	Enrei	NR3546	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR3546.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
TR2720	Glycine max	root tip	Wounds and injuries	flooding	not available	2	seedling development stage	Enrei	TR2720	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	TR2720.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	flooding
NR2540	Glycine max	root tip	Wounds and injuries	no flooding	not available	2	seedling development stage	Enrei	NR2540	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR2540.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
NR1540	Glycine max	root tip	Wounds and injuries	no flooding	not available	1	seedling development stage	Enrei	NR1540	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR1540.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
NR3480	Glycine max	root tip	Wounds and injuries	no flooding	not available	3	seedling development stage	Enrei	NR3480	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR3480.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
NR2513	Glycine max	root tip	Wounds and injuries	no flooding	not available	2	seedling development stage	Enrei	NR2513	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.8 Da	NR2513.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	no flooding
