source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[genotype]	characteristics[developmental stage]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[genotype]
191021_PI4K_13-1_3ul	Arabidopsis thaliana	Leaf	not applicable	1	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_13-1_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	191021_PI4K_13-1_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_13-2_3ul	Arabidopsis thaliana	Leaf	not applicable	1	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_13-2_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	191021_PI4K_13-2_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_13-3_3ul	Arabidopsis thaliana	Leaf	not applicable	1	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_13-3_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	3	191021_PI4K_13-3_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_14-1_3ul	Arabidopsis thaliana	Leaf	not applicable	2	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_14-1_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	191021_PI4K_14-1_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_14-2_3ul	Arabidopsis thaliana	Leaf	not applicable	2	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_14-2_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	191021_PI4K_14-2_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_14-3_3ul	Arabidopsis thaliana	Leaf	not applicable	2	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_14-3_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	3	191021_PI4K_14-3_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_15-1_3ul	Arabidopsis thaliana	Leaf	not applicable	3	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_15-1_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	191021_PI4K_15-1_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_15-2_3ul	Arabidopsis thaliana	Leaf	not applicable	3	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_15-2_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	2	191021_PI4K_15-2_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_PI4K_15-3_3ul	Arabidopsis thaliana	Leaf	not applicable	3	pi4kbeta1/pi4kbeta2 double mutant	not available	191021_PI4K_15-3_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	3	191021_PI4K_15-3_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	pi4kbeta1/pi4kbeta2 double mutant
191021_SID2PI4K_13-1_3ul	Arabidopsis thaliana	Leaf	not applicable	1	sid2/pi4kbeta1/pi4kbeta2 triple mutant	not available	191021_SID2PI4K_13-1_3ul	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=orbitrap;AC=MS:1000484	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	191021_SID2PI4K_13-1_3ul.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	sid2/pi4kbeta1/pi4kbeta2 triple mutant
