source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[genotype]
SAWC_2088	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2088	PPE38 intact	1	QE2_151009_OPL2014_RU_LA_Tub_A_151013054658	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_A_151013054658.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2088	PPE38 intact
SAWC_2088	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2088	PPE38 intact	2	QE2_151009_OPL2014_RU_LA_Tub_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2088	PPE38 intact
SAWC_2133	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2133	PPE38 mutant	1	QE2_151009_OPL2014_RU_LA_Tub_C_151013075045	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_C_151013075045.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2133	PPE38 mutant
SAWC_2133	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2133	PPE38 mutant	2	QE2_151009_OPL2014_RU_LA_Tub_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2133	PPE38 mutant
SAWC_2701	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2701	PPE38 mutant	1	QE2_151009_OPL2014_RU_LA_Tub_E_151013095323	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_E_151013095323.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2701	PPE38 mutant
SAWC_2701	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2701	PPE38 mutant	2	QE2_151009_OPL2014_RU_LA_Tub_F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2701	PPE38 mutant
SAWC_2133-complemented	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2133-complemented	PPE38 complemented	1	QE2_151009_OPL2014_RU_LA_Tub_G_151013115605	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_G_151013115605.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2133-complemented	PPE38 complemented
SAWC_2133-complemented	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2133-complemented	PPE38 complemented	2	QE2_151009_OPL2014_RU_LA_Tub_H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2133-complemented	PPE38 complemented
SAWC_2701-complemented	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2701-complemented	PPE38 complemented	1	QE2_151009_OPL2014_RU_LA_Tub_I_151013135848	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_I_151013135848.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2701-complemented	PPE38 complemented
SAWC_2701-complemented	Mycobacterium tuberculosis	culture fluid	not applicable	prokaryotic cell	organism part	SAWC_2701-complemented	PPE38 complemented	2	QE2_151009_OPL2014_RU_LA_Tub_J	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	1	1	QE2_151009_OPL2014_RU_LA_Tub_J.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	SAWC_2701-complemented	PPE38 complemented
