source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[tissue mass]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[source name]
MB46_PDTF1	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF1_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T14:04:14	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF1
MB46_PDTF10	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF10_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T21:27:39	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF10
MB46_PDTF11	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF11_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T22:11:30	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF11
MB46_PDTF12	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF12_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T22:55:24	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF12
MB46_PDTF13	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF13_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T23:55:36	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF13
MB46_PDTF14	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF14_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-07T00:39:30	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF14
MB46_PDTF15	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF15_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-07T01:23:22	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF15
MB46_PDTF2	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF2_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T14:48:03	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF2
MB46_PDTF3	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF3_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T15:31:52	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF3
MB46_PDTF4	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB46_PDTF4_BR1_DIA_pep_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR315075C18TS_DIA_30SPD_MB_46_PDTF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	10 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-06T16:31:55	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF4
