source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[run role]	comment[acquisition branch]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[background cell line]	comment[spike amount basis]	comment[injected total peptide amount]	comment[original sample name]	comment[original acquisition]	comment[annotation source]	comment[annotation provenance]	factor value[condition]
PXD012987_MM_IS_sample1	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF02640	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF02640.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF02640.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	200 ng	Sandra1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample2	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF02642	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF02642.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF02642.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	200 ng	Sandra2	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample3	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF02644	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF02644.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF02644.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	200 ng	Sandra3	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample4	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF02646	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF02646.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF02646.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	200 ng	Sandra4	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample5	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF02648	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF02648.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF02648.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	200 ng	Sandra5	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample6	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF02650	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF02650.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF02650.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	200 ng	Sandra6	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample1	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF03071	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF03071.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF03071.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	800 ng	Sandra_1	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample2	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF03073	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF03073.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF03073.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	800 ng	Sandra_2	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample3	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF03075	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF03075.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF03075.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	800 ng	Sandra_3	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
PXD012987_MM_IS_sample4	Mus musculus	not applicable	not available	not applicable	1	MM_IS_concentration_unresolved	CT=protein;AC=P37840	CT=protein;AC=P02754	CT=protein;AC=P02671	CT=protein;AC=P02675	CT=protein;AC=P02679	CT=protein;AC=P13006	CT=protein;AC=P69905	CT=protein;AC=P68871	CT=protein;AC=P20261	CT=protein;AC=P32946	CT=protein;AC=P32947	CT=protein;AC=P00698	CT=protein;AC=P68082	PXD012987_QExHF03077	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable;PP=Any N-term	NT=Ammonium;AC=UNIMOD:989;TA=D,E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=C;MT=Variable;PP=Any N-term	NT=Ammonia-loss;AC=UNIMOD:385;TA=N;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	0.02 Da	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF03077.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012987/QExHF03077.raw	PMC6944235	spectral library	MM_IS_6	PMC6944235 Table II and Supplementary Tables S2/S3; deposited assay_information.txt classifies library groups; RAW sample labels provide GS states and fraction numbers; processing/injection repeats of C2C12 mixtures	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	C2C12	prepared mixture amount from Table I or Supplementary Table S2; not on-column amount	800 ng	Sandra_4	not applicable	https://www.ebi.ac.uk/pride/archive/projects/PXD012987 | https://doi.org/10.1074/mcp.ra119.001714	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	MM_IS_concentration_unresolved
