source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[sample preparation batch]	comment[study group]	comment[replicate provenance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD018408_DIA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_05	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_05.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_05.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DIA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_06	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_06.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_06.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DIA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_09	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_09.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_09.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DIA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_10	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_10.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_10.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DIA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_13	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_13.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_13.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DIA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_14	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_14.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_14.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DIA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_18	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	4	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_18.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_18.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DIA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_21	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	4	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_21.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_21.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DIA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_25	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	5	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_25.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_25.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DIA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_26	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	5	1	NT=Data-independent acquisition;AC=PRIDE:0000450	EA100915_26.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_26.raw&forceDownload=true	not applicable	DIA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	400	1000	20	v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
