source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[sample preparation batch]	comment[study group]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD018408_DDA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_03	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_03.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_03.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DDA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_04	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_04.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_04.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DDA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_08	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_08.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_08.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DDA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_11	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_11.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_11.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DDA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_15	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_15.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_15.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DDA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_16	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_16.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_16.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DDA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_19.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_19.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DDA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_20	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_20.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_20.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
PXD018408_DDA_1x	Homo sapiens	not applicable	not applicable	not applicable	1	1x	CT=mixture;CN=Ecoli:100	PXD018408_EA100915_23	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_23.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_23.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	1x
PXD018408_DDA_2x	Homo sapiens	not applicable	not applicable	not applicable	1	2x	CT=mixture;CN=Ecoli:200	PXD018408_EA100915_24	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EA100915_24.raw	https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000085239%2Fraw%2FEA100915_24.raw&forceDownload=true	not applicable	DDA	Eight technical LC-MS injections per master mixture and acquisition mode; no independent biological replication.	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018408 | https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7859943/fullTextXML | https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e9c7a48efe454054832fba5e0e004771 | https://api.figshare.com/v2/articles/13614397	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	2x
