source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genetic modification]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[antibody enrichment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[compound]	factor value[sampling time]	factor value[antibody enrichment]
59M_siCT45_carbo_1	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of CT45 (siCT45)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	1	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of CT45 (siCT45)	Carboplatin	not applicable	not applicable
59M_siCT45_carbo_2	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of CT45 (siCT45)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	2	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of CT45 (siCT45)	Carboplatin	not applicable	not applicable
59M_siCT45_carbo_3	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of CT45 (siCT45)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	3	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of CT45 (siCT45)	Carboplatin	not applicable	not applicable
59M_siCT45_carbo_4	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of CT45 (siCT45)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	4	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCT45_carbo_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of CT45 (siCT45)	Carboplatin	not applicable	not applicable
59M_siCtrl_ut_1	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	1	20170403_QEp6_FaCo_SA_59M_siCtrl_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable
59M_siCtrl_ut_2	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	2	20170403_QEp6_FaCo_SA_59M_siCtrl_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable
59M_siCtrl_ut_3	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	3	20170403_QEp6_FaCo_SA_59M_siCtrl_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable
59M_siCtrl_ut_4	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	4	20170403_QEp6_FaCo_SA_59M_siCtrl_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	not applicable	not applicable	not applicable
59M_siCtrl_carbo_1	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	1	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	Carboplatin	not applicable	not applicable
59M_siCtrl_carbo_2	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	2	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	Carboplatin	not applicable	not applicable
59M_siCtrl_carbo_3	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	3	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	Carboplatin	not applicable	not applicable
59M_siCtrl_carbo_4	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	non-targeting control siRNA (siCTRL)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	4	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siCtrl_carbo_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	non-targeting control siRNA (siCTRL)	Carboplatin	not applicable	not applicable
59M_siPP4C_ut_1	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	1	20170403_QEp6_FaCo_SA_59M_siPP4C_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siPP4C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable
59M_siPP4C_ut_2	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	2	20170403_QEp6_FaCo_SA_59M_siPP4C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siPP4C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable
59M_siPP4C_ut_3	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	3	20170403_QEp6_FaCo_SA_59M_siPP4C_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siPP4C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable
59M_siPP4C_ut_4	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	not applicable	4	20170403_QEp6_FaCo_SA_59M_siPP4C_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siPP4C_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of PPP4C (siPP4C)	not applicable	not applicable	not applicable
59M_siPP4C_carbo_1	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of PPP4C (siPP4C)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	1	20170403_QEp6_FaCo_SA_59M_siPP4C_carbo_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siPP4C_carbo_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of PPP4C (siPP4C)	Carboplatin	not applicable	not applicable
59M_siPP4C_carbo_2	Homo sapiens	ascitic fluid	epithelial cell	Ovarian High Grade Serous Adenocarcinoma	cell line	study sample	59M	CVCL_2291	59M	Dulbecco's Modified Eagle Medium with 10% FCS, 1% pen/strep and 10 ug/mL insulin	not available	not available	CellCheck (IDEXX BioResearch)	not available	adult	65Y	female	European ancestry	not applicable	transfection	siRNA knockdown of PPP4C (siPP4C)	Carboplatin	not available	not available	not applicable	enrichment of phosphorylated protein	not applicable	2	20170403_QEp6_FaCo_SA_59M_siPP4C_carbo_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=MS:1000422	not available	20 ppm	not available	not available	NT=orbitrap;AC=MS:1000484	1	1	20170403_QEp6_FaCo_SA_59M_siPP4C_carbo_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	siRNA knockdown of PPP4C (siPP4C)	Carboplatin	not applicable	not applicable
