source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[enrichment process]
SH-SY5Y_20k_BafA1_bio3	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	bafilomycin A1	20k extracellular vesicle fraction	3	assay_J_20k_BafA1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_10_J_20k_BafA1_11102023.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	bafilomycin A1	20k extracellular vesicle fraction
SH-SY5Y_100k_DMSO_bio3	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	DMSO vehicle	100k extracellular vesicle fraction	3	assay_K_100k_DMSO	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_11_K_100k_DMSO_11102023.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	DMSO vehicle	100k extracellular vesicle fraction
SH-SY5Y_100k_BafA1_bio3	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	bafilomycin A1	100k extracellular vesicle fraction	3	assay_L_100k_BafA1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_12_L_100k_BafA1_11102023.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	bafilomycin A1	100k extracellular vesicle fraction
SH-SY5Y_20k_DMSO_bio1	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	DMSO vehicle	20k extracellular vesicle fraction	1	assay_A_20k_DMSO	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_1_A_20k_DMSO_29112023B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	DMSO vehicle	20k extracellular vesicle fraction
SH-SY5Y_20k_BafA1_bio1	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	bafilomycin A1	20k extracellular vesicle fraction	1	assay_B_20k_BafA1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_2_B_20k_BafA1_29112023B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	bafilomycin A1	20k extracellular vesicle fraction
SH-SY5Y_100k_DMSO_bio1	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	DMSO vehicle	100k extracellular vesicle fraction	1	assay_C_100k_DMSO	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_3_C_100k_DMSO_29112023B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	DMSO vehicle	100k extracellular vesicle fraction
SH-SY5Y_100k_BafA1_bio1	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	bafilomycin A1	100k extracellular vesicle fraction	1	assay_D_100k_BafA1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_4_D_100k_BafA1_29112023B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	bafilomycin A1	100k extracellular vesicle fraction
SH-SY5Y_20k_DMSO_bio2	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	DMSO vehicle	20k extracellular vesicle fraction	2	assay_E_20k_DMSO	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_5_E_20k_DMSO_29112023A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	DMSO vehicle	20k extracellular vesicle fraction
SH-SY5Y_20k_BafA1_bio2	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	bafilomycin A1	20k extracellular vesicle fraction	2	assay_F_20k_BafA1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_6_F_20k_BafA1_29112023A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	bafilomycin A1	20k extracellular vesicle fraction
SH-SY5Y_100k_DMSO_bio2	Homo sapiens	peripheral nervous system	epithelial cell	neuroblastoma	SH-SY5Y	CVCL_0019	SH-SY5Y	child	4Y	female	not available	cell	DMSO vehicle	100k extracellular vesicle fraction	2	assay_G_100k_DMSO	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	PR742_JB2_7_G_100k_DMSO_29112023A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	DMSO vehicle	100k extracellular vesicle fraction
