accession	species_group	organism_taxname	study_type	estimated_files_or_samples	publication	orthologue_utility	decision	notes
PXD042770	archaea	Halobacterium salinarum	reference_proteome_spectral_library	84_wiff	none_in_pride	medium	include	Halo SWATH library DDA; 84 wiff SDRF tracked
PXD046281	pathogen	Borreliella burgdorferi	reference_proteome	321_raw_wiff	none_in_pride	medium	include	Borrelia PeptideAtlas; instruments from mzML headers; SDRF tracked
PXD000153	pathogen	Bartonella henselae	reference_proteome	622_RAW	PMID:23878158	medium	include	Bartonella complete proteome; 622 RAW SDRF tracked
PXD000084	invertebrate	Apis mellifera ligustica	tissue_atlas	38_of_572_RAW_partial	PMID:23878156	high	deferred	Honeybee tissue atlas is invertebrate (not pathogen) and only 38/572 files mappable — deferred to orthologue/invertebrate campaign when full experiment->organ map is available
PXD000702	pathogen	Staphylococcus aureus HG001	reference_proteome	144_RAW	none	medium	include	HG001 peptide resource; 3 bioreps x (OFFGEL-IEF/RP/SCX/unfractionated); Q Exactive label-free; 144 Thermo .raw; SDRF built
PXD010956	pathogen	Mycobacterium tuberculosis H37Rv	reference_proteome	123_RAW	PMID_proteogenomics	medium	include	H37Rv whole-cell proteogenomics; SCX+OFFGEL+in-gel(GeLC) deep fractionation; LTQ Orbitrap Velos label-free; 123 .raw; SDRF built
PXD001928	fungi	Saccharomyces cerevisiae SUB592	reference_proteome	147_RAW_labelfree	none	high	include	Yeast near-complete proteome; GeLC-MS/MS (SDS+Tricine gels x Trypsin/Lys-C); LTQ Orbitrap Velos; 147 label-free .raw (69 SILAC excluded); SDRF built
PXD016204	pathogen	Leptospira interrogans serovar Copenhageni	reference_proteome	72_RAW	PMID_Thoduvayil2020	medium	include	Whole-cell Triton X-114 3-phase (cytoplasm/OM/IM) x 12 bRPLC fractions x 2 reps; Orbitrap Fusion label-free; 72 .raw; SDRF built
PXD015268	pathogen	Streptococcus pneumoniae D39	reference_proteome	30_of_171_RAW	PMID_StkP2020	medium	include	D39 WT whole-cell GeLC-MS/MS (3 bioreps x 10 gel fractions); LTQ Orbitrap Velos label-free; 30 WT .raw (mutant + phospho SCX runs excluded); SDRF built
PXD052066	fungi	Schizosaccharomyces pombe 972h-	reference_proteome	8_of_16_RAW	none	medium	include	Fission yeast WT 972h- whole-cell (vegetative + G0 quiescence D1/D7/D14 x 2 reps); Q Exactive label-free; 8 WT .raw (8 DEL-mutant excluded); single-shot; SDRF built
PXD020863	pathogen	Streptococcus pyogenes (GAS)	reference_proteome	60_RAW	Bioplatforms_Australia	medium	include	5 clinical isolates (5448 M1/SP444/HKU419/PS003/PS006) x 2 growth conditions (RPMI/pooled human serum) x 6 reps; Q Exactive Plus label-free single-shot; 60 .raw; mapped via deposited ExperimentalDesign.txt; SDRF built
PXD027241	parasite	Plasmodium falciparum 3D7	reference_proteome	56_RAW	PMID_Creek2021	medium	include	P. falciparum blood-stage spectral library (4730 proteins); 5 SCX-fractionated asexual culture groups (P/Prot/as_p/GS + secreted CB); Q Exactive HF label-free DDA; 56 .raw. Developmental stage annotated generically (intraerythrocytic asexual) - per-group ring/troph/schizont mapping deferred to paper. SDRF built
PXD054200	parasite	Babesia microti	reference_proteome	10_RAW	Parveen_Rutgers	low	exclude	Only B. microti PRIDE deposit is a host mouse-blood co-infection study (registered Mus musculus); parasite is minority signal - no dedicated whole-organism B. microti proteome exists
