source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[genotype]	factor value[treatment]
DDA_mock_1	Homo sapiens	kidney	not available	1	normal	cell line	mock	not available	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not available	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_1_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	mock
DDA_mock_1	Homo sapiens	kidney	not available	1	normal	cell line	mock	not available	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not available	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_1_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	mock
DDA_parental_1	Homo sapiens	kidney	not available	1	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	wild type	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_2	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	wild type	untreated
DDA_parental_2	Homo sapiens	kidney	not available	2	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	wild type	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_3	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	wild type	untreated
DDA_parental_MG132_1	Homo sapiens	kidney	not available	1	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	wild type	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_4	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	wild type	Proteasome Inhibitor MG-132
DDA_parental_MG132_2	Homo sapiens	kidney	not available	2	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	wild type	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_5	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	wild type	Proteasome Inhibitor MG-132
DDA_MAEA_KO_cl1_1	Homo sapiens	kidney	not available	1	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	MAEA-/- clone 1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_6	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MAEA-/- clone 1	untreated
DDA_MAEA_KO_cl1_2	Homo sapiens	kidney	not available	2	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	MAEA-/- clone 1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_7	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MAEA-/- clone 1	untreated
DDA_MAEA_KO_cl1_MG132_1	Homo sapiens	kidney	not available	1	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	MAEA-/- clone 1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_8	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MAEA-/- clone 1	Proteasome Inhibitor MG-132
DDA_MAEA_KO_cl1_MG132_2	Homo sapiens	kidney	not available	2	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	MAEA-/- clone 1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_9	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Arno_HEK293_TUBE_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MAEA-/- clone 1	Proteasome Inhibitor MG-132
