source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[antibody]	characteristics[cellular component]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	factor value[antibody]	factor value[cellular component]	factor value[genotype]
1ch_soma_WT_IP_1	Mus musculus	lumbar spinal cord	motor neuron	1	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample01_S4-A1_1_9301	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample01_S4-A1_1_9301.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
1ch_soma_WT_IP_2	Mus musculus	lumbar spinal cord	motor neuron	2	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample02_S4-A2_1_9302	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample02_S4-A2_1_9302.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
1ch_soma_WT_IP_3	Mus musculus	lumbar spinal cord	motor neuron	3	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample03_S4-A3_1_9303	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample03_S4-A3_1_9303.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
1ch_soma_WT_IP_4	Mus musculus	lumbar spinal cord	motor neuron	4	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample04_S4-A4_1_9304	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample04_S4-A4_1_9304.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	wild type
1ch_axon_WT_IP_1	Mus musculus	lumbar spinal cord	motor neuron	1	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample05_S4-A5_1_9282	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample05_S4-A5_1_9282.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
1ch_axon_WT_IP_2	Mus musculus	lumbar spinal cord	motor neuron	2	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample06_S4-A6_1_9283	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample06_S4-A6_1_9283.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
1ch_axon_WT_IP_3	Mus musculus	lumbar spinal cord	motor neuron	3	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample07_S4-A7_1_9284	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample07_S4-A7_1_9284.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
1ch_axon_WT_IP_4	Mus musculus	lumbar spinal cord	motor neuron	4	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample08_S4-A8_1_9285	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample08_S4-A8_1_9285.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	wild type
1ch_soma_KO_IP_1	Mus musculus	lumbar spinal cord	motor neuron	1	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample09_S4-A9_1_9291	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample09_S4-A9_1_9291.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout
1ch_soma_KO_IP_2	Mus musculus	lumbar spinal cord	motor neuron	2	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample10_S4-A10_1_9292	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample10_S4-A10_1_9292.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout
