id	label	reason	evidence	species_group	organism_taxname	n_tissues_or_parts	study_type	includes_human	estimated_files_or_samples	publication	orthologue_utility	already_annotated
PXD028979	include	Cross-species fibroblast proteome+phosphoproteome of 11 mammals including human; designed for proteotype coevolution / orthologue-level comparison across monkey, horse, dog, rat, cattle.	PRIDE title/description; Sci Adv 2022 eabn0756; organisms list includes Homo sapiens, Macaca mulatta, Equus caballus, Canis lupus, Rattus norvegicus, Bos taurus.	monkey;horse;dog;rat;bos	Macaca mulatta; Equus caballus; Canis lupus; Rattus norvegicus; Bos taurus (+human +others)	1 (skin fibroblast)	comparative_multispecies	yes	~dozens RAW (proteome+phospho per species)	Ba et al. Sci Adv 2022 PMID:36083897	high	yes
PXD012636	include	Quantitative heart proteome comparison of human vs model organisms; direct tissue orthologue map for zebrafish, rat, horse (+pig/mouse).	PRIDE; PLoS Biol 2021 e3001144; organisms human/zebrafish/rat/horse/pig/mouse; organism part Heart; ~638 files.	zebrafish;rat;horse	Danio rerio; Rattus norvegicus; Equus caballus (+human)	1 (heart)	comparative_multispecies	yes	~638 files	Linscheid et al. PLoS Biol 2021 PMID:33872299	high	yes
PXD001972	include	Multi-organ rhesus macaque draft tissue proteome (prototype NHP proteome bank); high orthologue utility to human.	PRIDE; PLoS One 2015 e0126243; ~12 organs (liver, pancreas, brain regions, spleen, reproductive, etc.); Highlighted tag.	monkey	Macaca mulatta	~12	tissue_atlas	no (searched vs human DB)	hundreds RAW (20 slices × organs × sex)	Lee et al. PLoS One 2015 PMID:25974132	high	yes
PXD010876	include	Zebrafish 9-tissue SWATH spectral library quantifying ~10k proteins (~40% coding genes); companion resource for orthologue depth.	PRIDE; Sci Data 2019; tissues brain/eye/heart/intestine/liver/muscle/ovary/spleen/testis; linked PXD010869.	zebrafish	Danio rerio	9	tissue_atlas	no	~100+ wiff/DDA runs	Blattmann et al. Sci Data 2019 PMID:30747917	high	yes
PXD044768	include	Bovine peptide spectral library to quantify ~10k cattle proteins; reference resource for Bos–human orthologue mapping. [ANNOTATED: datasets/PXD044768/PXD044768-dda.sdrf.tsv (364) + PXD044768-swath.sdrf.tsv (60)]	PRIDE title VPBrowse; Proteomics 2023 doi 10.1002/PMIC.202300431; organism Bos taurus; high downloads.	bos	Bos taurus	library (multi-sample)	reference_proteome	no	large DDA library	VPBrowse / Proteomics 2023	high	yes
PXD015427	include	Rat multi-tissue thermal proteome profiling (liver, lung, kidney, spleen, testis + cell culture); depth across organism parts.	PRIDE; Nature Commun tissue TPP; organism parts listed; very large file set.	rat	Rattus norvegicus	5+ tissues	deep_tissue	no	~2626 files	Perrin et al. (tissue TPP)	medium	no
PXD016662	include	Rat 12-tissue organ proteome atlas (DIA + TMT) quantifying >10k proteins; high orthologue-depth multi-organ reference. [ANNOTATED: datasets/PXD016662/PXD016662-dia.sdrf.tsv (36) + dia-phospho (36); TMT held out]	PRIDE; MCP 2020 PMID:32051234 Bekker-Jensen et al.; 12 tissues × 3 Sprague-Dawley males; Exploris 480 DIA FAIMS.	rat	Rattus norvegicus	12	tissue_atlas	yes (HeLa tech only)	~362 RAW (36 DIA tissue + 36 phospho + TMT/tech held out)	Bekker-Jensen et al. MCP 2020	high	yes
PXD002193	exclude	Forensic projectile on-surface digests, not tissue homogenate atlas; only 9 RAW (Schuss/Projektil method); organ series deposited as mzML/MGF from bullet surface — low orthologue-atlas utility.	PRIDE; J Proteome Res 2015 forensic organ signatures; organs in keywords/filenames.	bos	Bos taurus	5 (kidney/liver/lung/muscle/heart)	other	yes (blood contrast)	hundreds	Dammeier et al. JPR 2015 PMID:26593679	low	no
PXD000131	maybe	Deep rat liver proteome (integrative genome/transcriptome/proteome); single tissue but classic deep coverage. [ANNOTATED: datasets/PXD000131/PXD000131.sdrf.tsv (360 rows, liver BN/SHR, 5 proteases, 2 platforms)]	PRIDE; high downloads; liver-focused.	rat	Rattus norvegicus	1 (liver)	deep_tissue	no	~2037 files	Low et al. (rat liver)	medium	yes
PXD009086	maybe	Chicken hypothalamus proteome (fed/fasted lines); single CNS tissue, usable Gallus depth but not multi-tissue atlas. [ANNOTATED: datasets/PXD009086/PXD009086.sdrf.tsv (51 rows, hypothalamus HWS/LWS x fed/fast)]	PRIDE; Nutr Diabetes 2019.	gallus	Gallus gallus	1 (hypothalamus)	deep_tissue	no	~24 birds / many fractions	Liu et al. 2019 PMID:30931934	medium	yes
PXD001450	maybe	Chicken eggshell matrix proteome; specialized biomineralization — limited for general orthologue atlas.	PRIDE; J Proteomics 2015 eggshell.	gallus	Gallus gallus	1 (eggshell)	other	no	~60+ fractions	Marie et al. 2015 PMID:26049031	low	no
PXD019842	maybe	Horse synovial tissue/fluid OA stratification; disease factor dominates; limited orthologue breadth.	PRIDE; equine osteoarthritis.	horse	Equus caballus	1 (synovial)	other	no	large	OA equine proteomics	low	no
PXD003124	exclude	Dog tear film proteome; shallow/specialized secretome, low orthologue utility.	PRIDE; PLoS One 2015 tear film.	dog	Canis familiaris	1 (tear)	other	no	gel bands	Winiarczyk et al. 2015	low	no
PXD037667	exclude	Dog diabetic serum biomarker / curcuminoid study; clinical serum panel.	PRIDE title/description.	dog	Canis familiaris	1 (serum)	other	no	gel-MS	Front Vet Sci 2022	low	no
PXD024487	exclude	Palaeoproteomics species ID from bone (SPIN); not modern orthologue proteomes.	PRIDE; Nat Commun 2022 SPIN.	horse;bos	archaeological bone	1 (bone)	other	yes	~1668	Rüther et al. 2022	low	no
PXD050536	exclude	Mouse liver probiotic study; organism facet polluted with many taxa — not multi-species experiment.	PRIDE description searches Mus musculus only.	—	Mus musculus (misannotated facets)	1 (liver)	other	no	12 RAW	probiotic goat milk	low	no
PXD011413	exclude	Mouse miR-146a study; junk multi-organism facet metadata.	PRIDE description mouse only.	—	Mus musculus	cell	other	no	many	Saltzman/Neilson	low	no
PXD011629	exclude	IP-MS antibody target ID (not deep tissue atlas).	PRIDE title IP-MS.	zebrafish	mixed	IP	other	yes	many IP gels	Sci Adv antibody array	low	no
PXD027280	exclude	Zebrafish mandible regeneration Notch study; disease/injury design, not atlas.	PRIDE; Development 2022.	zebrafish	Danio rerio	1 (mandible)	other	no	~16 RAW	Kraus et al. 2022	low	no
PXD005691	include	Classic Drosophila developmental proteome (~7952 proteins) across life cycle (embryo→adult); high orthologue-depth reference for fly–human mapping. [ANNOTATED: datasets/PXD005691/PXD005691.sdrf.tsv (68 rows, life cycle)]	PRIDE; Genome Res 2017 PMID:28381612 Casas-Vila et al.; whole-body stages; companion PXD005713.	drosophila	Drosophila melanogaster	life-cycle stages (whole body)	reference_proteome	no	~68 RAW	Casas-Vila et al. Genome Res 2017	high	yes
PXD005713	include	High-resolution embryogenesis time-course proteome (~5458 proteins); companion to PXD005691 developmental resource. [ANNOTATED: datasets/PXD005713/PXD005713.sdrf.tsv (56 rows, embryo 0-20h)]	PRIDE; same Casas-Vila Genome Res 2017 paper; embryo hourly time course.	drosophila	Drosophila melanogaster	1 (embryo time course)	deep_tissue	no	~50+ RAW	Casas-Vila et al. Genome Res 2017	high	yes
PXD006225	include	Tissue-resolved fly proteome atlas (~6000 proteins / ~44% predicted proteome) across brain, intestine, fat body, thorax under altered insulin/IGF signalling. [ANNOTATED: datasets/PXD006225/PXD006225.sdrf.tsv (92 rows, brain/gut/fat/thorax)]	PRIDE; Mol Syst Biol 2017 PMID:28916541 Tain et al.; four insulin-sensitive tissues.	drosophila	Drosophila melanogaster	4 (brain/gut/fat body/thorax)	tissue_atlas	no	~90+ RAW	Tain et al. Mol Syst Biol 2017	high	yes
PXD011589	include	Tissue-specific proteome response to insulin signalling (brain, gut, fat body, muscle/thorax); complements PXD006225 atlas depth. [ANNOTATED: datasets/PXD011589/PXD011589.sdrf.tsv (81 rows, 4 tissues)]	PRIDE title/organs parts Brain/Gut/Fat body/Thorax/Muscle; Drosophila melanogaster.	drosophila	Drosophila melanogaster	5 tissues	tissue_atlas	no	multi-tissue	IIS tissue profiling (related Partridge/Mann line)	medium	yes
PXD003178	maybe	Embryogenesis proteome dynamics; useful developmental depth but narrower than Casas-Vila pair.	PRIDE; embryo-focused shotgun.	drosophila	Drosophila melanogaster	1 (embryo)	deep_tissue	no	medium	embryogenesis dynamics	medium	no
PXD014223	maybe	Thoracic muscle aging/longevity TMT study; single tissue + longevity factor — limited orthologue-atlas breadth.	PRIDE; Genome Res 2019 Hunt et al.; thorax/skeletal muscle.	drosophila	Drosophila melanogaster	1 (thorax/muscle)	other	no	large TMT fractions	Hunt et al. Genome Res 2019	low	no
PXD024321	exclude	ABPP serine-hydrolase activity atlas (chemoproteomics), not deep shotgun tissue orthologue resource.	PRIDE title/keywords ABPP chemoproteomics.	drosophila	Drosophila melanogaster	developmental+adult parts	other	no	many wiff	ABPP SH atlas	low	no
PXD019086	exclude	Technical CCS/TIMS peptide library across 5 organisms including fly cell culture — not a fly tissue orthologue atlas.	PRIDE; Nat Commun 2021 Meier et al.; cell culture digests.	drosophila	Drosophila melanogaster (+human/others)	cell culture	other	yes	library RAW sets	Meier et al. Nat Commun 2021	low	no
PXD012546	exclude	Cross-linking MS of embryos (system-wide interactions), not expression atlas.	PRIDE title XL-MS workflow.	drosophila	Drosophila melanogaster	1 (embryo)	other	no	XL-MS	XL-MS embryo	low	no
PXD033778	include	Cat 6-organ iTRAQ (Toxoplasma day 7); only liver (P140561_3) has public file↔organ map via search deposit — other 5 organs held out pending map.	PRIDE title/description; Infect Dis Poverty 2022 PMID:36104766; 6 organs; TripleTOF 5600.	cat	Felis catus	6	tissue_atlas	no	120 wiff (20 annotated liver)	Nie et al. 2022	high	partial
PXD021963	exclude	Forensic bone species-ID MALDI across many vertebrates including cat — not a tissue atlas.	PRIDE bone protein species ID.	cat;other_vertebrate	mixed bone	1 (bone)	other	yes	MALDI spots	Yang et al. Sci Rep 2021	low	no
PXD010081	exclude	FA-SAT ncRNA interactome (cell), not tissue atlas.	PRIDE SWATH interactome.	cat	Felis silvestris	cell	other	yes	SWATH	Ferreira et al. 2019	low	no
PXD034832	maybe	Rabbit sperm cryopreservation DIGE — specialized reproductive proteome, not multi-tissue atlas.	PRIDE spermatozoa.	rabbit	Oryctolagus cuniculus	1 (sperm)	other	no	gel spots	Rusco et al. 2022	low	no
PXD000916	exclude	Rabbit serum antibody proteomics (technical), not tissue atlas.	PRIDE IgG serum.	rabbit	Oryctolagus cuniculus	1 (serum)	other	no	Orbitrap	Boutz et al. 2014	low	no
PXD048967	maybe	Sheep host-resistance proteome (parasite challenge); single/limited tissue context.	PRIDE Dorper/Santa Inês.	sheep	Ovis aries	not clear	deep_tissue	no	medium	2024 sheep Haemonchus	medium	no
PXD005726	maybe	Pig coronary artery ECM after stenting; deep vascular tissue but disease/intervention design.	PRIDE/Mayr Circulation 2017.	pig	Sus scrofa	1 (coronary artery)	deep_tissue	no	~45 RAW	Suna et al. 2017	medium	no
PXD001198	exclude	Pig wound exudate degradomics; fluid not organ atlas.	PRIDE TAILS wound fluids.	pig	Sus scrofa	1 (wound fluid)	other	no	many	Sabino et al. 2014	low	no
PXD066108	include	Annotated datasets/PXD066108/; 30-tissue aging rhesus macaque atlas (closest species to human) - highest orthologue utility; DIA deep proteome, female, 4 age classes	PRIDE title + DOI 10.1038/s41592-025-02912-y; deposited per-tissue metadata.tsv; file names {Tissue}_FPEP{id}_X{animal}.raw	monkey	Macaca mulatta	30	tissue_atlas	no	481 raw	Nat Methods 2025 s41592-025-02912-y	high	yes
PXD052932	include	Annotated datasets/PXD052932/; 15-tissue Labrador dog PeptideAtlas (timsTOF DDA); raw .d names recovered from ZIP64 central directory	PRIDE 'A Labrador PeptideAtlas'; overview xlsx + zip central directory	dog	Canis lupus familiaris	15	tissue_atlas	no	108 tissue .d (+plasma/urine)	Labrador PeptideAtlas 2024	high	yes
PXD003204	include	Annotated datasets/PXD003204/; 9-tissue domestic pig proteome atlas (hSAX, LTQ Orbitrap Elite); raw .raw names recovered from per-tissue ZIP central directories	PRIDE 'Annotation of the domestic pig genome by quantitative proteomics'; zip central directory	pig	Sus scrofa domesticus	9 (+6 embryo days)	tissue_atlas	no	108 tissue raw (+72 embryo)	Freitas/MCP 2016 doi 10.1074/mcp.M116.062372	high	yes
