source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[condition]	comment[file uri]
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RA11	Synechocystis	whole cell	bacterial cell	not applicable	4	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RA11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 5% CO2 + Air / Genotype: WT + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RA12	Synechocystis	whole cell	bacterial cell	not applicable	4	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RA12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 5% CO2 + Air / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB1	Synechocystis	whole cell	bacterial cell	not applicable	1	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 5% CO2 + N2 / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB2	Synechocystis	whole cell	bacterial cell	not applicable	2	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 5% CO2 + N2 / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB3	Synechocystis	whole cell	bacterial cell	not applicable	3	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 5% CO2 + N2 / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB4	Synechocystis	whole cell	bacterial cell	not applicable	4	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 5% CO2 + N2 / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB5	Synechocystis	whole cell	bacterial cell	not applicable	1	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 1% CO2 + Air / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB6	Synechocystis	whole cell	bacterial cell	not applicable	2	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 1% CO2 + Air / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB7	Synechocystis	whole cell	bacterial cell	not applicable	3	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 1% CO2 + Air / Genotype: cbbM(WT) + CRISPRi	not available
HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB8	Synechocystis	whole cell	bacterial cell	not applicable	4	cbbM	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	20 ppm	1	1	HF_20231030_DIA_350to1000_10mz_40min_1to32_700nLmin_60C_2kV_2uL_RB8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Gas: 1% CO2 + Air / Genotype: cbbM(WT) + CRISPRi	not available
