source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[run role]	comment[acquisition branch]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[background cell line]	comment[annotation source]	comment[annotation provenance]	factor value[condition]
PXD014777_HYE124A	Homo sapiens	not applicable	not available	not applicable	1	HYE124A	CT=mixture;CN=Saccharomyces cerevisiae digest	CT=mixture;CN=Escherichia coli digest	PXD014777_20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890.d.zip	PXD014777	benchmark	HYE_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HYE124A
PXD014777_HYE124A	Homo sapiens	not applicable	not available	not applicable	1	HYE124A	CT=mixture;CN=Saccharomyces cerevisiae digest	CT=mixture;CN=Escherichia coli digest	PXD014777_20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891.d.zip	PXD014777	benchmark	HYE_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HYE124A
PXD014777_HYE124A	Homo sapiens	not applicable	not available	not applicable	1	HYE124A	CT=mixture;CN=Saccharomyces cerevisiae digest	CT=mixture;CN=Escherichia coli digest	PXD014777_20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892.d.zip	PXD014777	benchmark	HYE_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HYE124A
PXD014777_HYE124B	Homo sapiens	not applicable	not available	not applicable	1	HYE124B	CT=mixture;CN=Saccharomyces cerevisiae digest	CT=mixture;CN=Escherichia coli digest	PXD014777_20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893.d.zip	PXD014777	benchmark	HYE_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HYE124B
PXD014777_HYE124B	Homo sapiens	not applicable	not available	not applicable	1	HYE124B	CT=mixture;CN=Saccharomyces cerevisiae digest	CT=mixture;CN=Escherichia coli digest	PXD014777_20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894.d.zip	PXD014777	benchmark	HYE_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HYE124B
PXD014777_HYE124B	Homo sapiens	not applicable	not available	not applicable	1	HYE124B	CT=mixture;CN=Saccharomyces cerevisiae digest	CT=mixture;CN=Escherichia coli digest	PXD014777_20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895.d.zip	PXD014777	benchmark	HYE_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HYE124B
PXD014777_HeLa_fraction22	Homo sapiens	not applicable	not available	not applicable	1	HeLa_fraction22	not applicable	not applicable	PXD014777_20181129HeLafraction22_Slot2-22_01_2799	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	1	22	NT=Data-dependent acquisition;AC=PRIDE:0000627	20181129HeLafraction22_Slot2-22_01_2799.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20181129HeLafraction22_Slot2-22_01_2799.d.zip	PXD014777	fractionated reference	HeLa_fraction22	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HeLa_fraction22
PXD014777_HeLa_fraction22	Homo sapiens	not applicable	not available	not applicable	1	HeLa_fraction22	not applicable	not applicable	PXD014777_20181129HeLafraction22_Slot2-22_01_2823	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	2	22	NT=Data-dependent acquisition;AC=PRIDE:0000627	20181129HeLafraction22_Slot2-22_01_2823.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20181129HeLafraction22_Slot2-22_01_2823.d.zip	PXD014777	fractionated reference	HeLa_fraction22	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HeLa_fraction22
PXD014777_HeLa_QC	Homo sapiens	not applicable	not available	not applicable	1	HeLa_QC	not applicable	not applicable	PXD014777_20190122_HeLa_QC_Slot1-47_1_3219	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20190122_HeLa_QC_Slot1-47_1_3219.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20190122_HeLa_QC_Slot1-47_1_3219.d.zip	PXD014777	quality control	HeLa_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HeLa_QC
PXD014777_HeLa_QC	Homo sapiens	not applicable	not available	not applicable	1	HeLa_QC	not applicable	not applicable	PXD014777_20190122_HeLa_QC_Slot1-47_1_3220	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20190122_HeLa_QC_Slot1-47_1_3220.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014777/20190122_HeLa_QC_Slot1-47_1_3220.d.zip	PXD014777	quality control	HeLa_120min	PMC7261821 Experimental Design explicitly says replicate injections, no biological/process replicate study; HYE n3/HeLa n10; plasma donor-to-run grouping is not supplied	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	HeLa	https://www.ebi.ac.uk/pride/archive/projects/PXD014777 | https://doi.org/10.1074/mcp.tir119.001720	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	HeLa_QC
