source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]
Sample_1	Escherichia coli	cell	not available	1	not available	Assay_1	proteomic profiling by mass spectrometry	1	BCHM1122bis_14.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_2	Escherichia coli	cell	not available	1	not available	Assay_2	proteomic profiling by mass spectrometry	1	BCHM1122bis_15.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_3	Escherichia coli	cell	not available	1	not available	Assay_3	proteomic profiling by mass spectrometry	1	BCHM1122bis_10.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_4	Escherichia coli	cell	not available	1	not available	Assay_4	proteomic profiling by mass spectrometry	1	BCHM1122bis_2.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_5	Escherichia coli	cell	not available	1	not available	Assay_5	proteomic profiling by mass spectrometry	1	BCHM1122bis_3.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	5	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_6	Escherichia coli	cell	not available	1	not available	Assay_6	proteomic profiling by mass spectrometry	1	BCHM1122bis_6.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	6	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_7	Escherichia coli	cell	not available	1	not available	Assay_7	proteomic profiling by mass spectrometry	1	BCHM1122bis_16.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	7	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_8	Escherichia coli	cell	not available	1	not available	Assay_8	proteomic profiling by mass spectrometry	1	BCHM1122bis_11.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	8	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_9	Escherichia coli	cell	not available	1	not available	Assay_9	proteomic profiling by mass spectrometry	1	BCHM1122bis_4.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	9	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample_10	Escherichia coli	cell	not available	1	not available	Assay_10	proteomic profiling by mass spectrometry	1	BCHM1122bis_7.raw	v1.1.0	Data-independent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	10	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
