source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
121227-15-ACHN-B-3	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	3	121227-15-ACHN-B-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	121227-15-ACHN-B-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/121227-15-ACHN-B-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
121227-16-ACHN-C-1	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	1	121227-16-ACHN-C-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	121227-16-ACHN-C-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/121227-16-ACHN-C-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-17-Est2-Pho-1	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	1	120807ku-17-Est2-Pho-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-17-Est2-Pho-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-17-Est2-Pho-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-19-Est2-Pho-2	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	2	120807ku-19-Est2-Pho-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-19-Est2-Pho-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-19-Est2-Pho-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-05-Est1-Pho-1	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	1	120807ku-05-Est1-Pho-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-05-Est1-Pho-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-05-Est1-Pho-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-27-Est2-Py-2	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	2	120807ku-27-Est2-Py-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-27-Est2-Py-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-27-Est2-Py-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-15-Est1-Py-2	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	2	120807ku-15-Est1-Py-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-15-Est1-Py-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-15-Est1-Py-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-21-Est2-Am-1	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	1	120807ku-21-Est2-Am-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-21-Est2-Am-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-21-Est2-Am-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
121227-11-ACHN-A-2	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	2	121227-11-ACHN-A-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	121227-11-ACHN-A-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/121227-11-ACHN-A-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
121227-14-ACHN-B-2	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	2	121227-14-ACHN-B-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	121227-14-ACHN-B-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/121227-14-ACHN-B-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
120807ku-25-Est2-Py-1	homo sapiens	Epithelial cell	not applicable	Renal cell carcinoma	1	120807ku-25-Est2-Py-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	6 ppm	1	1	120807ku-25-Est2-Py-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001962/120807ku-25-Est2-Py-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
