source name	characteristics[organism]	characteristics[organism part]	characteristics[sample name]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[perturbation]	characteristics[chemical administration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]	factor value[chemical administration]
PBS1	human gut metagenome	not applicable	PBS1	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	none	not applicable	1	PBS1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimPBS1_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	none	not applicable
PBS2	human gut metagenome	not applicable	PBS2	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	none	not applicable	2	PBS2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimPBS2_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	none	not applicable
PBS3	human gut metagenome	not applicable	PBS3	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	none	not applicable	3	PBS3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimPBS3_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	none	not applicable
BSA1LOW	human gut metagenome	not applicable	BSA1LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 10 ug/mL protein	1	BSA1LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimBSA1LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 10 ug/mL protein
BSA1HIGH	human gut metagenome	not applicable	BSA1HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 50 ug/mL protein	1	BSA1HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimBSA1HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 50 ug/mL protein
BSA2LOW	human gut metagenome	not applicable	BSA2LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 10 ug/mL protein	2	BSA2LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimBSA2LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 10 ug/mL protein
BSA2HIGH	human gut metagenome	not applicable	BSA2HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 50 ug/mL protein	2	BSA2HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimBSA2HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 50 ug/mL protein
BSA3LOW	human gut metagenome	not applicable	BSA3LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 10 ug/mL protein	3	BSA3LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimBSA3LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 10 ug/mL protein
BSA3HIGH	human gut metagenome	not applicable	BSA3HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 50 ug/mL protein	3	BSA3HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimBSA3HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (bovine serum albumin-grown, control protein); 50 ug/mL protein
GLU1LOW	human gut metagenome	not applicable	GLU1LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 10 ug/mL protein	1	GLU1LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGLU1LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 10 ug/mL protein
GLU1HIGH	human gut metagenome	not applicable	GLU1HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 50 ug/mL protein	1	GLU1HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGLU1HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 50 ug/mL protein
GLU2LOW	human gut metagenome	not applicable	GLU2LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 10 ug/mL protein	2	GLU2LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGLU2LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 10 ug/mL protein
GLU2HIGH	human gut metagenome	not applicable	GLU2HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 50 ug/mL protein	2	GLU2HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGLU2HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 50 ug/mL protein
