source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[dissociation method]
TO_H_Braun_010615_020715_AML_55_G3L11_11	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_020715_AML_55_G3L11_11	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_020715_AML_55_G3L11_11.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_020715_AML_55_G3L11_11	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_020715_AML_55_G3L11_11	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_020715_AML_55_G3L11_11.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_Braun_180215_090315_AML_L7_19	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_Braun_180215_090315_AML_L7_19	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_Braun_180215_090315_AML_L7_19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_Braun_180215_090315_AML_L7_19	Homo sapiens	not applicable	not applicable	1	TO_Braun_180215_090315_AML_L7_19	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_Braun_180215_090315_AML_L7_19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_240715_AML_67_G6L23_4	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_240715_AML_67_G6L23_4	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_240715_AML_67_G6L23_4.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_240715_AML_67_G6L23_4	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_240715_AML_67_G6L23_4	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_240715_AML_67_G6L23_4.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
TO_H_Braun_010615_070715_AML_58_G4L14_16	Homo sapiens	blood cell	Acute myeloid leukemia	1	TO_H_Braun_010615_070715_AML_58_G4L14_16	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_070715_AML_58_G4L14_16.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_TO_H_Braun_010615_070715_AML_58_G4L14_16	Homo sapiens	not applicable	not applicable	1	TO_H_Braun_010615_070715_AML_58_G4L14_16	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	TO_H_Braun_010615_070715_AML_58_G4L14_16.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
T_Oellerich_090114_090414_G1L5_16	Homo sapiens	blood cell	Acute myeloid leukemia	1	T_Oellerich_090114_090414_G1L5_16	proteomic profiling by mass spectrometry	NT=SILAC light reagent;AC=MS:1002614	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_090114_090414_G1L5_16.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
SILAC_reference_standard_KG1_NB4_MV4-11_for_T_Oellerich_090114_090414_G1L5_16	Homo sapiens	not applicable	not applicable	1	T_Oellerich_090114_090414_G1L5_16	proteomic profiling by mass spectrometry	NT=SILAC heavy reagent;AC=MS:1002612	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	T_Oellerich_090114_090414_G1L5_16.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=HCD;AC=MS:1000422
