source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[modification parameters]	comment[file uri]	comment[study group]	comment[replicate provenance]	comment[search parameter source]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD001385_Ecoli_3ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_3ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.0 ng	PXD001385_QEP1_SpikeIn_230914_1_3ng_270914	proteomic profiling by mass spectrometry	1	QEP1_SpikeIn_230914_1_3ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_1_3ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_3ng
PXD001385_Ecoli_3ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_3ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.0 ng	PXD001385_QEP1_SpikeIn_230914_2_3ng_270914	proteomic profiling by mass spectrometry	2	QEP1_SpikeIn_230914_2_3ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_2_3ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_3ng
PXD001385_Ecoli_3ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_3ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=3.0 ng	PXD001385_QEP1_SpikeIn_230914_3_3ng_270914	proteomic profiling by mass spectrometry	3	QEP1_SpikeIn_230914_3_3ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_3_3ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_3ng
PXD001385_Ecoli_7.5ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_7.5ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=7.5 ng	PXD001385_QEP1_SpikeIn_230914_4_7-5ng_270914	proteomic profiling by mass spectrometry	1	QEP1_SpikeIn_230914_4_7-5ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_4_7-5ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_7.5ng
PXD001385_Ecoli_7.5ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_7.5ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=7.5 ng	PXD001385_QEP1_SpikeIn_230914_5_7-5ng_270914	proteomic profiling by mass spectrometry	2	QEP1_SpikeIn_230914_5_7-5ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_5_7-5ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_7.5ng
PXD001385_Ecoli_7.5ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_7.5ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=7.5 ng	PXD001385_QEP1_SpikeIn_230914_6_7-5ng_270914	proteomic profiling by mass spectrometry	3	QEP1_SpikeIn_230914_6_7-5ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_6_7-5ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_7.5ng
PXD001385_Ecoli_10ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_10ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=10.0 ng	PXD001385_QEP1_SpikeIn_230914_7_10ng_270914	proteomic profiling by mass spectrometry	1	QEP1_SpikeIn_230914_7_10ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_7_10ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_10ng
PXD001385_Ecoli_10ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_10ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=10.0 ng	PXD001385_QEP1_SpikeIn_230914_8_10ng_270914	proteomic profiling by mass spectrometry	2	QEP1_SpikeIn_230914_8_10ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_8_10ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_10ng
PXD001385_Ecoli_10ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_10ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=10.0 ng	PXD001385_QEP1_SpikeIn_230914_9_10ng_270914	proteomic profiling by mass spectrometry	3	QEP1_SpikeIn_230914_9_10ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_9_10ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_10ng
PXD001385_Ecoli_15ng	Homo sapiens	not applicable	not applicable	1	not applicable	not applicable	not applicable	not applicable	not applicable	Ecoli_15ng	CT=mixture;CN=Escherichia coli digest;SP=Escherichia coli;QY=15.0 ng	PXD001385_QEP1_SpikeIn_230914_10_15ng_270914	proteomic profiling by mass spectrometry	1	QEP1_SpikeIn_230914_10_15ng_270914.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001385/QEP1_SpikeIn_230914_10_15ng_270914.raw	DDA	technical replicates; preparation vs injection subdivision unspecified; no biological replication claimed	Author-deposited Mascot search (12 matched .dat files)	https://www.ebi.ac.uk/pride/archive/projects/PXD001385	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Ecoli_15ng
