source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140609_narushima_1_NP_02	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	2	140609_narushima_1_NP_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140609_narushima_1_NP_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/140609_narushima_1_NP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130307_narushima_6_NP_02	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	2	130307_narushima_6_NP_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130307_narushima_6_NP_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130307_narushima_6_NP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130312_narushima_3_PP_02	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	2	130312_narushima_3_PP_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130312_narushima_3_PP_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130312_narushima_3_PP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130308_narushima_5_PP_04	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	4	130308_narushima_5_PP_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130308_narushima_5_PP_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130308_narushima_5_PP_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130311_narushima_4_NP_02	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	2	130311_narushima_4_NP_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_narushima_4_NP_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130311_narushima_4_NP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
140610_narushima_8_PP_04	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	4	140610_narushima_8_PP_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140610_narushima_8_PP_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/140610_narushima_8_PP_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130308_narushima_5_NP_03	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	3	130308_narushima_5_NP_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130308_narushima_5_NP_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130308_narushima_5_NP_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130307_narushima_6_PP_03	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	3	130307_narushima_6_PP_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130307_narushima_6_PP_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130307_narushima_6_PP_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130312_narushima_2_PP_04	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	4	130312_narushima_2_PP_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130312_narushima_2_PP_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130312_narushima_2_PP_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
130311_narushima_3_NP_04	homo sapiens	Brain	not applicable	Brain cancer	enrichment of phosphorylated protein	4	130311_narushima_3_NP_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_narushima_3_NP_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002614/130311_narushima_3_NP_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Brain
