source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
stationary_3_f7B_130816154746	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	1	stationary_3_f7B_130816154746.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_3_f7B_130816154746	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	2	stationary_2_f7B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_3_f7B_130816154746	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	3	stationary_1_f7B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f8B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	1	exponential_3_f8B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	8	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f8B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	2	exponential_2_f8B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	8	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f8B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	3	exponential_1_f8B2_1ulb.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	8	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f13B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	1	exponential_3_f13B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	13	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f13B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	2	exponential_1_f13B2_1ulb.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	13	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f13B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	3	exponential_2_f13B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	13	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f11b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	1	exponential_2_f11b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	11	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
