source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[size-fraction lower threshold]	comment[size-fraction upper threshold]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
proteOMZ_st10_300m	proteOMZ_st10_300m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 1D LC-MS	300 m	mesopelagic	1	proteOMZ_1D_st10_300m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	1	proteOMZ_1D_st10_300m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_300m
proteOMZ_st10_400m	proteOMZ_st10_400m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 1D LC-MS	400 m	mesopelagic	1	proteOMZ_1D_st10_400m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	1	proteOMZ_1D_st10_400m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_400m
proteOMZ_st10_80m	proteOMZ_st10_80m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 1D LC-MS	80 m	epipelagic	1	proteOMZ_1D_st10_80m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	1	proteOMZ_1D_st10_80m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_80m
proteOMZ_st10_80m	proteOMZ_st10_80m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 1D LC-MS	80 m	epipelagic	1	proteOMZ_1D_st10_80m_4hr	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	2	proteOMZ_1D_st10_80m_4hr.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_80m
proteOMZ_st10_150m	proteOMZ_st10_150m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 2D LC-MS	150 m	mesopelagic	1	proteOMZ_2D_st10_150m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	3	proteOMZ_2D_st10_150m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_150m
proteOMZ_st10_200m	proteOMZ_st10_200m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 2D LC-MS	200 m	mesopelagic	1	proteOMZ_2D_st10_200m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	3	proteOMZ_2D_st10_200m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_200m
proteOMZ_st10_20m	proteOMZ_st10_20m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 2D LC-MS	20 m	epipelagic	1	proteOMZ_2D_st10_20m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	3	proteOMZ_2D_st10_20m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_20m
proteOMZ_st10_300m	proteOMZ_st10_300m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 2D LC-MS	300 m	mesopelagic	1	proteOMZ_2D_st10_300m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	3	proteOMZ_2D_st10_300m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_300m
proteOMZ_st10_400m	proteOMZ_st10_400m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 2D LC-MS	400 m	mesopelagic	1	proteOMZ_2D_st10_400m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	3	proteOMZ_2D_st10_400m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_400m
proteOMZ_st10_80m	proteOMZ_st10_80m	marine plankton environmental sample	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	sea water	Pacific Ocean oxygen minimum zone (FK160115 station 10; 8 N, 140 W)	2016-01/2016-02	McLane in situ pump; 51 um prefilter then 0.2 um Supor; 2D LC-MS	80 m	epipelagic	1	proteOMZ_2D_st10_80m	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.6 Da	0.2 um	51 um	1	3	proteOMZ_2D_st10_80m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	proteOMZ_st10_80m
