source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[treatment]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
MCONCR3	Glycine max	cotyledon	not applicable	mutant line, control, initial flooding stress	3	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	MCONCR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	MCONCR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	mutant line, control, initial flooding stress
MCR1	Glycine max	cotyledon	not applicable	mutant line, treated, initial flooding stress	1	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	MCR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	MCR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	mutant line, treated, initial flooding stress
MCR3	Glycine max	cotyledon	not applicable	mutant line, treated, initial flooding stress	3	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	MCR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	MCR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	mutant line, treated, initial flooding stress
ABACR2	Glycine max	cotyledon	not applicable	ABA treated, initial flooding stress	2	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	ABACR2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	ABACR2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ABA treated, initial flooding stress
MCONRTR1	Glycine max	root tip	not applicable	mutant line, control, survival stages under continuous flooding	1	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	MCONRTR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	MCONRTR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	mutant line, control, survival stages under continuous flooding
ABACONCR2	Glycine max	cotyledon	not applicable	ABA control, initial flooding stress	2	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	ABACONCR2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	ABACONCR2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ABA control, initial flooding stress
ABARTR3	Glycine max	root tip	not applicable	ABA treated, survival stages under continuous flooding	3	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	ABARTR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	ABARTR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ABA treated, survival stages under continuous flooding
MCONRTR3	Glycine max	root tip	not applicable	mutant line, control, survival stages under continuous flooding	3	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	MCONRTR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	MCONRTR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	mutant line, control, survival stages under continuous flooding
ABARTR1	Glycine max	root tip	not applicable	ABA treated, survival stages under continuous flooding	1	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	ABARTR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	ABARTR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ABA treated, survival stages under continuous flooding
MRTR1	Glycine max	root tip	not applicable	mutant line, treated, survival stages under continuous flooding	1	2 day seedling stage	Enrei	growth chamber, white fluorescent light (160 umol/m2/s), 16h light/8h dark, 25C	MRTR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	10 ppm	0.8 Da	MRTR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	mutant line, treated, survival stages under continuous flooding
