source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[material type]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[treatment]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[fractionation method]	comment[sample preparation batch]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[genotype]
20150522_Neuro2Ah_DMSO_1	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	dimethyl sulfoxide	not available	enrichment of phosphorylated protein	1	run 452	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-27T13:35:30	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_DMSO_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	dimethyl sulfoxide	Neuro2Ah
20150522_Neuro2Ah_DMSO_2	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	dimethyl sulfoxide	not available	enrichment of phosphorylated protein	2	run 453	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-27T16:23:04	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_DMSO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	dimethyl sulfoxide	Neuro2Ah
20150522_Neuro2Ah_DMSO_3	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	dimethyl sulfoxide	not available	enrichment of phosphorylated protein	3	run 454	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T01:19:33	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_DMSO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	dimethyl sulfoxide	Neuro2Ah
20150522_Neuro2Ah_DMSO_4	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	dimethyl sulfoxide	not available	enrichment of phosphorylated protein	4	run 455	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T04:11:10	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_DMSO_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	dimethyl sulfoxide	Neuro2Ah
20150522_Neuro2Ah_DMSO_5	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	dimethyl sulfoxide	not available	enrichment of phosphorylated protein	5	run 456	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T07:03:18	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_DMSO_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	dimethyl sulfoxide	Neuro2Ah
20150522_Neuro2Ah_U50_1	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	U-50,488H	not available	enrichment of phosphorylated protein	1	run 457	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T10:44:12	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_U50_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	Neuro2Ah
20150522_Neuro2Ah_U50_2	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	U-50,488H	not available	enrichment of phosphorylated protein	2	run 458	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T13:36:53	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_U50_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	Neuro2Ah
20150522_Neuro2Ah_U50_3	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	U-50,488H	not available	enrichment of phosphorylated protein	3	run 459	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T16:28:47	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_U50_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	Neuro2Ah
20150522_Neuro2Ah_U50_4	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	U-50,488H	not available	enrichment of phosphorylated protein	4	run 460	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T19:20:47	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_U50_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	Neuro2Ah
20150522_Neuro2Ah_U50_5	Mus musculus	not applicable	neural crest derived neuroblast	Neuro-2a cell	CVCL_0470	Neuro-2a	peripheral nervous system	neuroblastoma	not available	male	A/J	Neuro2Ah	cell line	not available	not available	not available	U-50,488H	not available	enrichment of phosphorylated protein	5	run 461	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=orbitrap;AC=MS:1000484	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	300m/z-1600m/z	not applicable	20150522	2015-05-28T22:12:30	1	1	20150522_QEp6_JeLi_SA_L976_Neuro2Ah_U50_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	U-50,488H	Neuro2Ah
