source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[synthetic peptide]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[fractionation method]	comment[elution conditions]	comment[acquisition date]	comment[lc batch]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[source name]
PXD022150_onlybacteria_Lplantarum_HLA-II-column_BR2	Lactiplantibacillus plantarum	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lplantarum_HLA-II-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_351_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_351_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lplantarum_HLA-II-column_BR2
PXD022150_onlybacteria_Lplantarum_HLA-II-column_BR3	Lactiplantibacillus plantarum	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lplantarum_HLA-II-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_352_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_352_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lplantarum_HLA-II-column_BR3
PXD022150_onlybacteria_Scaprae_HLA-II-column_BR1	Staphylococcus caprae	not applicable	not applicable	1	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scaprae_HLA-II-column_BR1_R1	proteomic profiling by mass spectrometry	QEP2_10712_YSA_236_1_260120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_10712_YSA_236_1_260120.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-01-26	QEP2-10712	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scaprae_HLA-II-column_BR1
PXD022150_onlybacteria_Scaprae_HLA-II-column_BR2	Staphylococcus caprae	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scaprae_HLA-II-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_10712_YSA_237_1_260120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_10712_YSA_237_1_260120.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-01-26	QEP2-10712	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scaprae_HLA-II-column_BR2
PXD022150_onlybacteria_Scaprae_HLA-II-column_BR3	Staphylococcus caprae	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scaprae_HLA-II-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_10712_YSA_238_1_260120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_10712_YSA_238_1_260120.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-01-26	QEP2-10712	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scaprae_HLA-II-column_BR3
PXD022150_onlybacteria_Scaprae_HLA-I-column_BR1	Staphylococcus caprae	not applicable	not applicable	1	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scaprae_HLA-I-column_BR1_R1	proteomic profiling by mass spectrometry	QEP2_10712_YSA_230_1_260120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_10712_YSA_230_1_260120.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-01-26	QEP2-10712	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scaprae_HLA-I-column_BR1
PXD022150_onlybacteria_Scaprae_HLA-I-column_BR2	Staphylococcus caprae	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scaprae_HLA-I-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_10712_YSA_254_1_260120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_10712_YSA_254_1_260120.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-01-26	QEP2-10712	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scaprae_HLA-I-column_BR2
PXD022150_onlybacteria_Scaprae_HLA-I-column_BR3	Staphylococcus caprae	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scaprae_HLA-I-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_10712_YSA_232_1_260120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_10712_YSA_232_1_260120.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-01-26	QEP2-10712	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scaprae_HLA-I-column_BR3
PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR1	Ligilactobacillus animalis	not applicable	not applicable	1	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11457_YSA_418_1_270520.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11457_YSA_418_1_270520.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-05-27	QEP2-11457	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR1
PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR2	Ligilactobacillus animalis	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11457_YSA_419_1_270520.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11457_YSA_419_1_270520.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-05-27	QEP2-11457	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR2
PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR3	Ligilactobacillus animalis	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11457_YSA_420_1_270520.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11457_YSA_420_1_270520.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-05-27	QEP2-11457	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lanimalis_HLA-I-column_BR3
PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR1	Ligilactobacillus animalis	not applicable	not applicable	1	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11457_YSA_424_1_270520.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11457_YSA_424_1_270520.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-05-27	QEP2-11457	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR1
PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR2	Ligilactobacillus animalis	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11457_YSA_425_1_270520.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11457_YSA_425_1_270520.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-05-27	QEP2-11457	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR2
PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR3	Ligilactobacillus animalis	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_12291_YSA_424_2_150920.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_12291_YSA_424_2_150920.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-09-15	QEP2-12291	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Lanimalis_HLA-II-column_BR3
PXD022150_onlybacteria_Scapitis_HLA-I-column_BR1	Staphylococcus capitis	not applicable	not applicable	1	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scapitis_HLA-I-column_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_378_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_378_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scapitis_HLA-I-column_BR1
PXD022150_onlybacteria_Scapitis_HLA-I-column_BR2	Staphylococcus capitis	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scapitis_HLA-I-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_379_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_379_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scapitis_HLA-I-column_BR2
PXD022150_onlybacteria_Scapitis_HLA-I-column_BR3	Staphylococcus capitis	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scapitis_HLA-I-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_380_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_380_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scapitis_HLA-I-column_BR3
PXD022150_onlybacteria_Scapitis_HLA-II-column_BR1	Staphylococcus capitis	not applicable	not applicable	1	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scapitis_HLA-II-column_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_385_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_385_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scapitis_HLA-II-column_BR1
PXD022150_onlybacteria_Scapitis_HLA-II-column_BR2	Staphylococcus capitis	not applicable	not applicable	2	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scapitis_HLA-II-column_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_386_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_386_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scapitis_HLA-II-column_BR2
PXD022150_onlybacteria_Scapitis_HLA-II-column_BR3	Staphylococcus capitis	not applicable	not applicable	3	not pooled	negative control	not applicable	whole organism	not applicable	not synthetic	PXD022150_onlybacteria_Scapitis_HLA-II-column_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11207_YSA_387_1_070420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11207_YSA_387_1_070420.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-04-07	QEP2-11207	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	PXD022150_onlybacteria_Scapitis_HLA-II-column_BR3
